Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
PARMA,home,0,1,1,2,1,ATALANTA,1992-93
ATALANTA,away,1,0,1,1,2,PARMA,1992-93
JUVENTUS,home,0,0,1,0,0,CAGLIARI,1992-93
CAGLIARI,away,0,0,1,0,0,JUVENTUS,1992-93
GENOA,home,1,1,1,1,1,FIORENTINA,1992-93
FIORENTINA,away,1,1,1,1,1,GENOA,1992-93
FOGGIA,home,0,0,1,1,0,MILAN,1992-93
MILAN,away,0,0,1,0,1,FOGGIA,1992-93
BRESCIA,home,0,1,1,0,0,NAPOLI,1992-93
NAPOLI,away,1,0,1,0,0,BRESCIA,1992-93
PESCARA,home,0,0,1,0,1,ROMA,1992-93
ROMA,away,0,0,1,1,0,PESCARA,1992-93
LAZIO,home,0,0,1,3,3,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,1,3,3,LAZIO,1992-93
ANCONA,home,1,0,1,4,1,TORINO,1992-93
TORINO,away,0,1,1,1,4,ANCONA,1992-93
INTER,home,0,1,1,2,1,UDINESE,1992-93
UDINESE,away,1,0,1,1,2,INTER,1992-93
SAMPDORIA,home,0,1,2,2,3,ANCONA,1992-93
ANCONA,away,1,0,2,3,2,SAMPDORIA,1992-93
TORINO,home,0,0,2,0,0,BRESCIA,1992-93
BRESCIA,away,0,0,2,0,0,TORINO,1992-93
NAPOLI,home,0,0,2,2,4,FOGGIA,1992-93
FOGGIA,away,0,0,2,4,2,NAPOLI,1992-93
ROMA,home,0,1,2,0,0,GENOA,1992-93
GENOA,away,1,0,2,0,0,ROMA,1992-93
CAGLIARI,home,0,0,2,3,1,INTER,1992-93
INTER,away,0,0,2,1,3,CAGLIARI,1992-93
ATALANTA,home,0,0,2,4,1,JUVENTUS,1992-93
JUVENTUS,away,0,0,2,1,4,ATALANTA,1992-93
FIORENTINA,home,1,0,2,2,2,LAZIO,1992-93
LAZIO,away,0,1,2,2,2,FIORENTINA,1992-93
UDINESE,home,0,1,2,3,1,PARMA,1992-93
PARMA,away,1,0,2,1,3,UDINESE,1992-93
MILAN,home,0,0,2,4,5,PESCARA,1992-93
PESCARA,away,0,0,2,5,4,MILAN,1992-93
PESCARA,home,0,0,3,1,0,BRESCIA,1992-93
BRESCIA,away,0,0,3,0,1,PESCARA,1992-93
LAZIO,home,0,0,3,1,1,CAGLIARI,1992-93
CAGLIARI,away,0,0,3,1,1,LAZIO,1992-93
ANCONA,home,0,0,3,7,1,FIORENTINA,1992-93
FIORENTINA,away,0,0,3,1,7,ANCONA,1992-93
JUVENTUS,home,1,1,3,2,2,GENOA,1992-93
GENOA,away,1,1,3,2,2,JUVENTUS,1992-93
ATALANTA,home,0,0,3,2,0,MILAN,1992-93
MILAN,away,0,0,3,0,2,ATALANTA,1992-93
INTER,home,0,0,3,1,2,NAPOLI,1992-93
NAPOLI,away,0,0,3,2,1,INTER,1992-93
