Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
1,2,EMPOLI,home,1,1,1,2,0,FIORENTINA,1998-99
2,1,FIORENTINA,away,1,1,1,0,2,EMPOLI,1998-99
1,2,BOLOGNA,home,0,0,1,3,0,MILAN,1998-99
2,1,MILAN,away,0,0,1,0,3,BOLOGNA,1998-99
1,2,VICENZA,home,0,0,1,0,0,PARMA,1998-99
2,1,PARMA,away,0,0,1,0,0,VICENZA,1998-99
2,0,SALERNITANA,home,0,1,1,3,1,ROMA,1998-99
0,2,ROMA,away,1,0,1,1,3,SALERNITANA,1998-99
4,2,SAMPDORIA,home,0,0,1,2,2,UDINESE,1998-99
2,4,UDINESE,away,0,0,1,2,2,SAMPDORIA,1998-99
2,1,UNIONE VENEZIA,home,0,1,1,1,0,BARI,1998-99
1,2,BARI,away,1,0,1,0,1,UNIONE VENEZIA,1998-99
3,3,INTER,home,0,0,1,2,2,CAGLIARI,1998-99
3,3,CAGLIARI,away,0,0,1,2,2,INTER,1998-99
4,4,JUVENTUS,home,0,0,1,3,4,PERUGIA,1998-99
4,4,PERUGIA,away,0,0,1,4,3,JUVENTUS,1998-99
2,4,LAZIO,home,0,1,1,1,1,PIACENZA,1998-99
4,2,PIACENZA,away,1,0,1,1,1,LAZIO,1998-99
2,4,UDINESE,home,1,0,2,1,3,BOLOGNA,1998-99
4,2,BOLOGNA,away,0,1,2,3,1,UDINESE,1998-99
4,5,ROMA,home,0,0,2,0,0,EMPOLI,1998-99
5,4,EMPOLI,away,0,0,2,0,0,ROMA,1998-99
1,3,PIACENZA,home,0,0,2,1,0,INTER,1998-99
3,1,INTER,away,0,0,2,0,1,PIACENZA,1998-99
3,5,CAGLIARI,home,0,0,2,1,0,JUVENTUS,1998-99
5,3,JUVENTUS,away,0,0,2,0,1,CAGLIARI,1998-99
1,3,BARI,home,0,0,2,0,0,LAZIO,1998-99
3,1,LAZIO,away,0,0,2,0,0,BARI,1998-99
1,1,MILAN,home,0,0,2,1,2,SALERNITANA,1998-99
1,1,SALERNITANA,away,0,0,2,2,1,MILAN,1998-99
3,2,PERUGIA,home,0,1,2,1,1,SAMPDORIA,1998-99
2,3,SAMPDORIA,away,1,0,2,1,1,PERUGIA,1998-99
1,2,PARMA,home,0,0,2,0,0,UNIONE VENEZIA,1998-99
2,1,UNIONE VENEZIA,away,0,0,2,0,0,PARMA,1998-99
0,5,FIORENTINA,home,0,0,2,1,2,VICENZA,1998-99
5,0,VICENZA,away,0,0,2,2,1,FIORENTINA,1998-99
1,1,BOLOGNA,home,0,0,3,0,0,BARI,1998-99
1,1,BARI,away,0,0,3,0,0,BOLOGNA,1998-99
3,4,FIORENTINA,home,0,0,3,1,3,MILAN,1998-99
4,3,MILAN,away,0,0,3,3,1,FIORENTINA,1998-99
4,3,JUVENTUS,home,0,0,3,1,0,PARMA,1998-99
3,4,PARMA,away,0,0,3,0,1,JUVENTUS,1998-99
1,2,UNIONE VENEZIA,home,0,0,3,2,0,ROMA,1998-99
2,1,ROMA,away,0,0,3,0,2,UNIONE VENEZIA,1998-99
2,4,SALERNITANA,home,0,0,3,2,0,UDINESE,1998-99
4,2,UDINESE,away,0,0,3,0,2,SALERNITANA,1998-99
4,3,SAMPDORIA,home,1,2,3,5,0,CAGLIARI,1998-99
3,4,CAGLIARI,away,2,1,3,0,5,SAMPDORIA,1998-99
6,4,INTER,home,2,0,3,1,2,EMPOLI,1998-99
4,6,EMPOLI,away,0,2,3,2,1,INTER,1998-99
3,3,LAZIO,home,1,1,3,2,2,PERUGIA,1998-99
3,3,PERUGIA,away,1,1,3,2,2,LAZIO,1998-99
2,2,VICENZA,home,0,0,3,2,0,PIACENZA,1998-99
2,2,PIACENZA,away,0,0,3,0,2,VICENZA,1998-99
0,2,PARMA,home,1,0,4,0,0,BOLOGNA,1998-99
2,0,BOLOGNA,away,0,1,4,0,0,PARMA,1998-99
4,3,UDINESE,home,0,0,4,1,0,FIORENTINA,1998-99
3,4,FIORENTINA,away,0,0,4,0,1,UDINESE,1998-99
2,3,PERUGIA,home,0,0,4,2,0,INTER,1998-99
3,2,INTER,away,0,0,4,0,2,PERUGIA,1998-99
3,2,PIACENZA,home,0,1,4,1,0,JUVENTUS,1998-99
2,3,JUVENTUS,away,1,0,4,0,1,PIACENZA,1998-99
2,3,CAGLIARI,home,0,1,4,2,0,LAZIO,1998-99
3,2,LAZIO,away,1,0,4,0,2,CAGLIARI,1998-99
3,2,EMPOLI,home,0,0,4,1,1,SALERNITANA,1998-99
2,3,SALERNITANA,away,0,0,4,1,1,EMPOLI,1998-99
4,3,ROMA,home,0,1,4,2,1,SAMPDORIA,1998-99
3,4,SAMPDORIA,away,1,0,4,1,2,ROMA,1998-99
3,3,MILAN,home,1,0,4,0,2,UNIONE VENEZIA,1998-99
3,3,UNIONE VENEZIA,away,0,1,4,2,0,MILAN,1998-99
2,4,BARI,home,0,0,4,1,0,VICENZA,1998-99
4,2,VICENZA,away,0,0,4,0,1,BARI,1998-99
1,3,BOLOGNA,home,1,0,5,0,0,EMPOLI,1998-99
3,1,EMPOLI,away,0,1,5,0,0,BOLOGNA,1998-99
0,2,SALERNITANA,home,0,0,5,2,0,PARMA,1998-99
2,0,PARMA,away,0,0,5,0,2,SALERNITANA,1998-99
1,2,FIORENTINA,home,2,1,5,2,1,ROMA,1998-99
2,1,ROMA,away,1,2,5,1,2,FIORENTINA,1998-99
1,4,UDINESE,home,0,1,5,1,1,BARI,1998-99
4,1,BARI,away,1,0,5,1,1,UDINESE,1998-99
3,1,MILAN,home,0,0,5,1,0,CAGLIARI,1998-99
1,3,CAGLIARI,away,0,0,5,0,1,MILAN,1998-99
4,4,LAZIO,home,1,1,5,3,5,INTER,1998-99
4,4,INTER,away,1,1,5,5,3,LAZIO,1998-99
2,4,UNIONE VENEZIA,home,0,0,5,1,0,PERUGIA,1998-99
4,2,PERUGIA,away,0,0,5,0,1,UNIONE VENEZIA,1998-99
3,2,SAMPDORIA,home,0,0,5,4,1,PIACENZA,1998-99
2,3,PIACENZA,away,0,0,5,1,4,SAMPDORIA,1998-99
3,1,JUVENTUS,home,0,1,5,1,1,VICENZA,1998-99
1,3,VICENZA,away,1,0,5,1,1,JUVENTUS,1998-99
3,0,PIACENZA,home,0,1,6,3,1,BOLOGNA,1998-99
0,3,BOLOGNA,away,1,0,6,1,3,PIACENZA,1998-99
3,1,BARI,home,0,1,6,3,3,CAGLIARI,1998-99
1,3,CAGLIARI,away,1,0,6,3,3,BARI,1998-99
3,2,SALERNITANA,home,0,1,6,4,0,FIORENTINA,1998-99
2,3,FIORENTINA,away,1,0,6,0,4,SALERNITANA,1998-99
2,5,INTER,home,2,0,6,1,0,JUVENTUS,1998-99
5,2,JUVENTUS,away,0,2,6,0,1,INTER,1998-99
2,4,VICENZA,home,0,0,6,1,1,LAZIO,1998-99
4,2,LAZIO,away,0,0,6,1,1,VICENZA,1998-99
3,2,ROMA,home,1,1,6,3,2,MILAN,1998-99
2,3,MILAN,away,1,1,6,2,3,ROMA,1998-99
1,3,PARMA,home,0,0,6,2,1,PERUGIA,1998-99
3,1,PERUGIA,away,0,0,6,1,2,PARMA,1998-99
2,3,EMPOLI,home,0,0,6,3,0,SAMPDORIA,1998-99
3,2,SAMPDORIA,away,0,0,6,0,3,EMPOLI,1998-99
2,2,UNIONE VENEZIA,home,0,0,6,1,1,UDINESE,1998-99
2,2,UDINESE,away,0,0,6,1,1,UNIONE VENEZIA,1998-99
3,1,FIORENTINA,home,0,0,7,2,0,PARMA,1998-99
1,3,PARMA,away,0,0,7,0,2,FIORENTINA,1998-99
0,3,UDINESE,home,0,0,7,4,0,ROMA,1998-99
3,0,ROMA,away,0,0,7,0,4,UDINESE,1998-99
3,1,BOLOGNA,home,0,0,7,0,2,UNIONE VENEZIA,1998-99
1,3,UNIONE VENEZIA,away,0,0,7,2,0,BOLOGNA,1998-99
2,3,PERUGIA,home,0,0,7,2,0,EMPOLI,1998-99
3,2,EMPOLI,away,0,0,7,0,2,PERUGIA,1998-99
0,2,BARI,home,1,0,7,2,3,INTER,1998-99
2,0,INTER,away,0,1,7,3,2,BARI,1998-99
3,3,SAMPDORIA,home,0,0,7,2,0,JUVENTUS,1998-99
3,3,JUVENTUS,away,0,0,7,0,2,SAMPDORIA,1998-99
3,1,MILAN,home,0,0,7,1,1,PIACENZA,1998-99
1,3,PIACENZA,away,0,0,7,1,1,MILAN,1998-99
2,4,LAZIO,home,0,0,7,1,0,SALERNITANA,1998-99
4,2,SALERNITANA,away,0,0,7,0,1,LAZIO,1998-99
3,4,CAGLIARI,home,0,0,7,2,1,VICENZA,1998-99
4,3,VICENZA,away,0,0,7,1,2,CAGLIARI,1998-99
2,2,PARMA,home,1,1,8,1,1,BARI,1998-99
2,2,BARI,away,1,1,8,1,1,PARMA,1998-99
0,2,ROMA,home,1,0,8,1,1,BOLOGNA,1998-99
2,0,BOLOGNA,away,0,1,8,1,1,ROMA,1998-99
3,3,PIACENZA,home,0,0,8,3,2,CAGLIARI,1998-99
3,3,CAGLIARI,away,0,0,8,2,3,PIACENZA,1998-99
4,2,UNIONE VENEZIA,home,0,0,8,4,1,FIORENTINA,1998-99
2,4,FIORENTINA,away,0,0,8,1,4,UNIONE VENEZIA,1998-99
2,1,EMPOLI,home,0,0,8,4,1,LAZIO,1998-99
1,2,LAZIO,away,0,0,8,1,4,EMPOLI,1998-99
3,4,INTER,home,0,0,8,2,2,MILAN,1998-99
4,3,MILAN,away,0,0,8,2,2,INTER,1998-99
2,1,VICENZA,home,0,1,8,3,1,PERUGIA,1998-99
1,2,PERUGIA,away,1,0,8,1,3,VICENZA,1998-99
2,2,SALERNITANA,home,1,0,8,1,0,SAMPDORIA,1998-99
2,2,SAMPDORIA,away,0,1,8,0,1,SALERNITANA,1998-99
3,2,JUVENTUS,home,0,0,8,2,2,UDINESE,1998-99
2,3,UDINESE,away,0,0,8,2,2,JUVENTUS,1998-99
0,3,MILAN,home,0,0,9,0,0,BARI,1998-99
3,0,BARI,away,0,0,9,0,0,MILAN,1998-99
1,1,CAGLIARI,home,1,1,9,2,1,EMPOLI,1998-99
1,1,EMPOLI,away,1,1,9,1,2,CAGLIARI,1998-99
1,2,SAMPDORIA,home,0,0,9,3,0,INTER,1998-99
2,1,INTER,away,0,0,9,0,3,SAMPDORIA,1998-99
1,3,UDINESE,home,0,0,9,4,1,PARMA,1998-99
3,1,PARMA,away,0,0,9,1,4,UDINESE,1998-99
4,4,FIORENTINA,home,1,0,9,4,2,PIACENZA,1998-99
4,4,PIACENZA,away,0,1,9,2,4,FIORENTINA,1998-99
2,3,JUVENTUS,home,0,1,9,2,0,ROMA,1998-99
3,2,ROMA,away,1,0,9,0,2,JUVENTUS,1998-99
2,3,PERUGIA,home,0,0,9,2,0,SALERNITANA,1998-99
3,2,SALERNITANA,away,0,0,9,0,2,PERUGIA,1998-99
3,1,LAZIO,home,0,1,9,2,0,UNIONE VENEZIA,1998-99
1,3,UNIONE VENEZIA,away,1,0,9,0,2,LAZIO,1998-99
1,3,BOLOGNA,home,1,0,9,0,4,VICENZA,1998-99
3,1,VICENZA,away,0,1,9,4,0,BOLOGNA,1998-99
2,3,PERUGIA,home,0,0,10,1,1,BOLOGNA,1998-99
3,2,BOLOGNA,away,0,0,10,1,1,PERUGIA,1998-99
2,2,PARMA,home,0,0,10,1,0,CAGLIARI,1998-99
2,2,CAGLIARI,away,0,0,10,0,1,PARMA,1998-99
2,6,BARI,home,0,0,10,1,1,ROMA,1998-99
6,2,ROMA,away,0,0,10,1,1,BARI,1998-99
3,1,INTER,home,0,0,10,3,1,FIORENTINA,1998-99
1,3,FIORENTINA,away,0,0,10,1,3,INTER,1998-99
0,0,EMPOLI,home,0,0,10,0,0,JUVENTUS,1998-99
0,0,JUVENTUS,away,0,0,10,0,0,EMPOLI,1998-99
1,2,LAZIO,home,0,0,10,1,0,MILAN,1998-99
2,1,MILAN,away,0,0,10,0,1,LAZIO,1998-99
1,5,UNIONE VENEZIA,home,1,0,10,1,0,SALERNITANA,1998-99
5,1,SALERNITANA,away,0,1,10,0,1,UNIONE VENEZIA,1998-99
1,3,VICENZA,home,0,0,10,0,0,SAMPDORIA,1998-99
3,1,SAMPDORIA,away,0,0,10,0,0,VICENZA,1998-99
3,1,PIACENZA,home,1,1,10,1,0,UDINESE,1998-99
1,3,UDINESE,away,1,1,10,0,1,PIACENZA,1998-99
2,3,FIORENTINA,home,0,0,11,0,0,BARI,1998-99
3,2,BARI,away,0,0,11,0,0,FIORENTINA,1998-99
2,3,JUVENTUS,home,0,1,11,3,0,BOLOGNA,1998-99
3,2,BOLOGNA,away,1,0,11,0,3,JUVENTUS,1998-99
4,2,VICENZA,home,0,1,11,1,0,EMPOLI,1998-99
2,4,EMPOLI,away,1,0,11,0,1,VICENZA,1998-99
0,2,SALERNITANA,home,0,0,11,2,1,INTER,1998-99
2,0,INTER,away,0,0,11,1,2,SALERNITANA,1998-99
3,5,ROMA,home,0,1,11,3,3,LAZIO,1998-99
5,3,LAZIO,away,1,0,11,3,3,ROMA,1998-99
3,3,MILAN,home,0,0,11,4,0,PARMA,1998-99
3,3,PARMA,away,0,0,11,0,4,MILAN,1998-99
1,3,PIACENZA,home,0,1,11,2,0,PERUGIA,1998-99
3,1,PERUGIA,away,1,0,11,0,2,PIACENZA,1998-99
1,4,CAGLIARI,home,0,0,11,2,1,UDINESE,1998-99
4,1,UDINESE,away,0,0,11,1,2,CAGLIARI,1998-99
2,2,SAMPDORIA,home,0,1,11,0,0,UNIONE VENEZIA,1998-99
2,2,UNIONE VENEZIA,away,1,0,11,0,0,SAMPDORIA,1998-99
3,2,BOLOGNA,home,0,0,12,1,0,FIORENTINA,1998-99
2,3,FIORENTINA,away,0,0,12,0,1,BOLOGNA,1998-99
1,2,PERUGIA,home,1,1,12,5,1,ROMA,1998-99
2,1,ROMA,away,1,1,12,1,5,PERUGIA,1998-99
1,3,PARMA,home,0,0,12,0,2,SAMPDORIA,1998-99
3,1,SAMPDORIA,away,0,0,12,2,0,PARMA,1998-99
3,3,UNIONE VENEZIA,home,1,0,12,0,1,CAGLIARI,1998-99
3,3,CAGLIARI,away,0,1,12,1,0,UNIONE VENEZIA,1998-99
2,1,LAZIO,home,0,0,12,0,1,JUVENTUS,1998-99
1,2,JUVENTUS,away,0,0,12,1,0,LAZIO,1998-99
2,2,UDINESE,home,0,0,12,3,0,MILAN,1998-99
2,2,MILAN,away,0,0,12,0,3,UDINESE,1998-99
2,3,EMPOLI,home,0,0,12,0,0,PIACENZA,1998-99
3,2,PIACENZA,away,0,0,12,0,0,EMPOLI,1998-99
1,3,BARI,home,0,1,12,2,2,SALERNITANA,1998-99
3,1,SALERNITANA,away,1,0,12,2,2,BARI,1998-99
2,2,INTER,home,2,1,12,1,1,VICENZA,1998-99
2,2,VICENZA,away,1,2,12,1,1,INTER,1998-99
1,2,EMPOLI,home,0,0,13,2,1,BARI,1998-99
2,1,BARI,away,0,0,13,1,2,EMPOLI,1998-99
2,2,SALERNITANA,home,0,1,13,1,1,BOLOGNA,1998-99
2,2,BOLOGNA,away,1,0,13,1,1,SALERNITANA,1998-99
3,1,JUVENTUS,home,0,1,13,1,0,FIORENTINA,1998-99
1,3,FIORENTINA,away,1,0,13,0,1,JUVENTUS,1998-99
2,2,SAMPDORIA,home,0,0,13,5,2,LAZIO,1998-99
2,2,LAZIO,away,0,0,13,2,5,SAMPDORIA,1998-99
0,1,VICENZA,home,1,0,13,1,0,MILAN,1998-99
1,0,MILAN,away,0,1,13,0,1,VICENZA,1998-99
1,1,ROMA,home,0,0,13,1,1,PARMA,1998-99
1,1,PARMA,away,0,0,13,1,1,ROMA,1998-99
2,1,CAGLIARI,home,0,1,13,2,1,PERUGIA,1998-99
1,2,PERUGIA,away,1,0,13,1,2,CAGLIARI,1998-99
2,3,INTER,home,0,0,13,0,1,UDINESE,1998-99
