Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
0,1,MODENA,home,,,,,1,1,3,ATALANTA,2002-03
1,0,ATALANTA,away,,,,,1,3,1,MODENA,2002-03
2,2,PERUGIA,home,,,,,1,3,0,CHIEVOVERONA,2002-03
2,2,CHIEVOVERONA,away,,,,,1,0,3,PERUGIA,2002-03
1,4,INTER,home,,,,,1,3,4,EMPOLI,2002-03
4,1,EMPOLI,away,,,,,1,4,3,INTER,2002-03
2,2,UDINESE,home,,,,,1,1,0,MILAN,2002-03
2,2,MILAN,away,,,,,1,0,1,UDINESE,2002-03
3,1,BRESCIA,home,,,,,1,4,3,PARMA,2002-03
1,3,PARMA,away,,,,,1,3,4,BRESCIA,2002-03
3,2,JUVENTUS,home,,,,,1,0,1,PIACENZA,2002-03
2,3,PIACENZA,away,,,,,1,1,0,JUVENTUS,2002-03
1,2,LAZIO,home,,,,,1,0,3,REGGINA,2002-03
2,1,REGGINA,away,,,,,1,3,0,LAZIO,2002-03
4,2,COMO,home,,,,,1,2,1,ROMA,2002-03
2,4,ROMA,away,,,,,1,1,2,COMO,2002-03
1,3,BOLOGNA,home,,,,,1,2,1,TORINO,2002-03
3,1,TORINO,away,,,,,1,1,2,BOLOGNA,2002-03
5,3,ROMA,home,,,0,0,2,2,1,BOLOGNA,2002-03
3,5,BOLOGNA,away,,,0,0,2,1,2,ROMA,2002-03
1,2,EMPOLI,home,,,0,0,2,0,2,COMO,2002-03
2,1,COMO,away,,,0,0,2,2,0,EMPOLI,2002-03
0,0,TORINO,home,,,0,1,2,1,0,INTER,2002-03
0,0,INTER,away,,,1,0,2,0,1,TORINO,2002-03
0,0,MILAN,home,,,0,0,2,0,3,MODENA,2002-03
0,0,MODENA,away,,,0,0,2,3,0,MILAN,2002-03
2,4,PIACENZA,home,,,0,0,2,1,2,BRESCIA,2002-03
4,2,BRESCIA,away,,,0,0,2,2,1,PIACENZA,2002-03
1,2,ATALANTA,home,,,0,0,2,3,0,JUVENTUS,2002-03
2,1,JUVENTUS,away,,,0,0,2,0,3,ATALANTA,2002-03
2,3,CHIEVOVERONA,home,,,0,0,2,2,3,LAZIO,2002-03
3,2,LAZIO,away,,,0,0,2,3,2,CHIEVOVERONA,2002-03
3,3,REGGINA,home,,,0,0,2,2,0,PERUGIA,2002-03
3,3,PERUGIA,away,,,0,0,2,0,2,REGGINA,2002-03
2,2,PARMA,home,,,0,0,2,1,1,UDINESE,2002-03
2,2,UDINESE,away,,,0,0,2,1,1,PARMA,2002-03
3,1,JUVENTUS,home,,,0,0,3,0,2,EMPOLI,2002-03
1,3,EMPOLI,away,,,0,0,3,2,0,JUVENTUS,2002-03
0,0,PERUGIA,home,,,0,0,3,3,0,MILAN,2002-03
0,0,MILAN,away,,,0,0,3,0,3,PERUGIA,2002-03
2,4,BOLOGNA,home,,,0,0,3,2,2,ATALANTA,2002-03
4,2,ATALANTA,away,,,0,0,3,2,2,BOLOGNA,2002-03
2,1,BRESCIA,home,,,0,0,3,1,2,CHIEVOVERONA,2002-03
1,2,CHIEVOVERONA,away,,,0,0,3,2,1,BRESCIA,2002-03
2,2,COMO,home,,,0,0,3,2,0,PARMA,2002-03
2,2,PARMA,away,,,0,0,3,0,2,COMO,2002-03
3,2,UDINESE,home,,,0,0,3,2,0,PIACENZA,2002-03
2,3,PIACENZA,away,,,0,0,3,0,2,UDINESE,2002-03
2,1,INTER,home,,,0,0,3,1,2,REGGINA,2002-03
1,2,REGGINA,away,,,0,0,3,2,1,INTER,2002-03
2,5,MODENA,home,,,1,0,3,1,2,ROMA,2002-03
5,2,ROMA,away,,,0,1,3,2,1,MODENA,2002-03
0,2,LAZIO,home,,,0,0,3,0,1,TORINO,2002-03
2,0,TORINO,away,,,0,0,3,1,0,LAZIO,2002-03
0,3,PARMA,home,0,0,0,1,4,2,2,JUVENTUS,2002-03
3,0,JUVENTUS,away,0,0,1,0,4,2,2,PARMA,2002-03
3,3,MILAN,home,0,0,0,1,4,1,1,LAZIO,2002-03
3,3,LAZIO,away,0,0,1,0,4,1,1,MILAN,2002-03
2,3,PIACENZA,home,1,0,0,0,4,1,0,BOLOGNA,2002-03
3,2,BOLOGNA,away,0,1,0,0,4,0,1,PIACENZA,2002-03
1,3,ROMA,home,1,1,1,0,4,2,3,BRESCIA,2002-03
3,1,BRESCIA,away,1,1,0,1,4,3,2,ROMA,2002-03
2,3,REGGINA,home,0,0,0,0,4,1,1,COMO,2002-03
3,2,COMO,away,0,0,0,0,4,1,1,REGGINA,2002-03
3,2,CHIEVOVERONA,home,0,0,1,0,4,2,1,INTER,2002-03
2,3,INTER,away,0,0,0,1,4,1,2,CHIEVOVERONA,2002-03
1,2,TORINO,home,0,0,0,0,4,2,1,MODENA,2002-03
2,1,MODENA,away,0,0,0,0,4,1,2,TORINO,2002-03
1,1,EMPOLI,home,0,0,0,0,4,1,3,PERUGIA,2002-03
1,1,PERUGIA,away,0,0,0,0,4,3,1,EMPOLI,2002-03
2,3,ATALANTA,home,0,0,0,0,4,1,0,UDINESE,2002-03
3,2,UDINESE,away,0,0,0,0,4,0,1,ATALANTA,2002-03
1,3,BRESCIA,home,,,0,0,5,2,2,REGGINA,2002-03
3,1,REGGINA,away,,,0,0,5,2,2,BRESCIA,2002-03
1,3,UDINESE,home,,,0,0,5,4,1,ROMA,2002-03
3,1,ROMA,away,,,0,0,5,1,4,UDINESE,2002-03
2,2,LAZIO,home,,,0,0,5,0,1,ATALANTA,2002-03
2,2,ATALANTA,away,,,0,0,5,1,0,LAZIO,2002-03
4,3,MODENA,home,,,0,0,5,2,0,CHIEVOVERONA,2002-03
3,4,CHIEVOVERONA,away,,,0,0,5,0,2,MODENA,2002-03
2,2,BOLOGNA,home,,,0,0,5,0,0,EMPOLI,2002-03
2,2,EMPOLI,away,,,0,0,5,0,0,BOLOGNA,2002-03
0,2,COMO,home,,,0,0,5,1,1,JUVENTUS,2002-03
2,0,JUVENTUS,away,,,0,0,5,1,1,COMO,2002-03
0,2,TORINO,home,,,0,1,5,6,0,MILAN,2002-03
2,0,MILAN,away,,,1,0,5,0,6,TORINO,2002-03
2,2,PERUGIA,home,,,0,0,5,2,2,PARMA,2002-03
2,2,PARMA,away,,,0,0,5,2,2,PERUGIA,2002-03
1,1,INTER,home,,,1,0,5,1,4,PIACENZA,2002-03
1,1,PIACENZA,away,,,0,1,5,4,1,INTER,2002-03
0,4,ROMA,home,,,0,0,6,1,3,EMPOLI,2002-03
4,0,EMPOLI,away,,,0,0,6,3,1,ROMA,2002-03
2,1,JUVENTUS,home,,,1,1,6,1,1,INTER,2002-03
1,2,INTER,away,,,1,1,6,1,1,JUVENTUS,2002-03
2,0,MILAN,home,,,0,0,6,1,4,ATALANTA,2002-03
0,2,ATALANTA,away,,,0,0,6,4,1,MILAN,2002-03
2,4,BRESCIA,home,,,0,0,6,3,0,BOLOGNA,2002-03
4,2,BOLOGNA,away,,,0,0,6,0,3,BRESCIA,2002-03
2,3,PIACENZA,home,,,0,0,6,1,1,COMO,2002-03
3,2,COMO,away,,,0,0,6,1,1,PIACENZA,2002-03
1,1,PERUGIA,home,,,0,0,6,3,0,LAZIO,2002-03
1,1,LAZIO,away,,,0,0,6,0,3,PERUGIA,2002-03
1,1,PARMA,home,,,0,0,6,2,1,MODENA,2002-03
1,1,MODENA,away,,,0,0,6,1,2,PARMA,2002-03
2,4,CHIEVOVERONA,home,,,0,0,6,1,0,TORINO,2002-03
4,2,TORINO,away,,,0,0,6,0,1,CHIEVOVERONA,2002-03
3,2,REGGINA,home,,,0,0,6,1,0,UDINESE,2002-03
2,3,UDINESE,away,,,0,0,6,0,1,REGGINA,2002-03
3,1,MILAN,home,0,1,0,0,7,3,2,CHIEVOVERONA,2002-03
1,3,CHIEVOVERONA,away,1,0,0,0,7,2,3,MILAN,2002-03
1,2,UDINESE,home,0,0,0,0,7,1,0,JUVENTUS,2002-03
2,1,JUVENTUS,away,0,0,0,0,7,0,1,UDINESE,2002-03
2,1,COMO,home,0,0,0,0,7,1,1,BRESCIA,2002-03
1,2,BRESCIA,away,0,0,0,0,7,1,1,COMO,2002-03
2,4,BOLOGNA,home,0,0,0,0,7,2,0,INTER,2002-03
4,2,INTER,away,0,0,0,0,7,0,2,BOLOGNA,2002-03
1,2,ROMA,home,0,0,0,0,7,2,2,LAZIO,2002-03
2,1,LAZIO,away,0,0,0,0,7,2,2,ROMA,2002-03
1,4,ATALANTA,home,0,0,0,0,7,2,1,PARMA,2002-03
4,1,PARMA,away,0,0,0,0,7,1,2,ATALANTA,2002-03
5,3,MODENA,home,0,0,1,0,7,2,0,PERUGIA,2002-03
3,5,PERUGIA,away,0,0,0,1,7,0,2,MODENA,2002-03
1,2,EMPOLI,home,0,0,0,0,7,1,2,PIACENZA,2002-03
