Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,3,5,6,,,,,,,INTER,home,,,7,2,,,0,0,0,0,18,14,4,2,1,2,2,,,1,0,19,21,6,8,4,3,0,0,CHIEVOVERONA,2004-05,14,14,8,8,6,6,0,0
3,1,6,5,,,,,,,CHIEVOVERONA,away,,,2,7,,,0,0,0,0,14,18,2,4,1,2,2,,,0,1,21,19,8,6,3,4,0,0,INTER,2004-05,14,14,8,8,6,6,0,0
0,3,0,0,,,,,,,LIVORNO,home,,,0,0,,,0,1,1,0,0,0,0,0,1,2,2,,,0,0,0,0,0,0,0,0,0,1,MILAN,2004-05,0,0,0,0,0,0,0,0
3,0,0,0,,,,,,,MILAN,away,,,0,0,,,1,0,0,1,0,0,0,0,1,2,2,,,0,0,0,0,0,0,0,0,1,0,LIVORNO,2004-05,0,0,0,0,0,0,0,0
1,3,2,3,,,,,,,LECCE,home,,,4,3,,,0,0,0,0,22,10,5,1,1,2,2,,,1,0,6,12,4,7,5,7,0,0,ATALANTA,2004-05,15,15,5,8,10,7,0,0
3,1,3,2,,,,,,,ATALANTA,away,,,3,4,,,0,0,0,0,10,22,1,5,1,2,2,,,0,1,12,6,7,4,7,5,0,0,LECCE,2004-05,15,15,8,5,7,10,0,0
3,1,0,1,,,,,,,JUVENTUS,home,,,4,6,,,0,0,0,0,26,29,1,2,1,0,3,,,0,0,16,14,9,13,4,2,0,0,BRESCIA,2004-05,3,11,1,3,2,8,0,0
1,3,1,0,,,,,,,BRESCIA,away,,,6,4,,,0,0,0,0,29,26,2,1,1,3,0,,,0,0,14,16,13,9,2,4,0,0,JUVENTUS,2004-05,11,3,3,1,8,2,0,0
1,4,6,1,,,,,,,BOLOGNA,home,,,6,5,,,0,0,0,0,17,31,1,5,1,1,0,,,0,0,12,10,8,6,3,5,0,1,CAGLIARI,2004-05,12,7,6,4,6,3,0,0
4,1,1,6,,,,,,,CAGLIARI,away,,,5,6,,,0,0,0,0,31,17,5,1,1,0,1,,,0,0,10,12,6,8,5,3,1,0,BOLOGNA,2004-05,7,12,4,6,3,6,0,0
2,1,3,0,,,,,,,SIENA,home,,,7,2,,,0,1,0,0,34,22,6,1,1,1,0,,,0,0,6,5,9,4,2,4,0,0,PALERMO,2004-05,9,7,4,5,5,2,0,0
1,2,0,3,,,,,,,PALERMO,away,,,2,7,,,1,0,0,0,22,34,1,6,1,0,1,,,0,0,5,6,4,9,4,2,0,0,SIENA,2004-05,7,9,5,4,2,5,0,0
1,1,4,1,,,,,,,MESSINA,home,,,12,4,,,0,0,0,0,28,13,0,0,1,0,0,,,2,0,6,3,2,6,1,6,0,0,PARMA,2004-05,12,7,4,6,8,1,0,0
1,1,1,4,,,,,,,PARMA,away,,,4,12,,,0,0,0,0,13,28,0,0,1,0,0,,,0,2,3,6,6,2,6,1,0,0,MESSINA,2004-05,7,12,6,4,1,8,0,0
2,2,0,0,,,,,,,UDINESE,home,,,3,1,,,0,0,1,0,20,18,1,1,1,0,0,,,1,0,8,5,6,6,3,4,0,0,REGGINA,2004-05,10,7,5,4,5,3,0,0
2,2,0,0,,,,,,,REGGINA,away,,,1,3,,,0,0,0,1,18,20,1,1,1,0,0,,,0,1,5,8,6,6,4,3,0,0,UDINESE,2004-05,7,10,4,5,3,5,0,0
3,1,2,1,,,,,,,FIORENTINA,home,,,3,4,,,0,0,1,1,18,23,3,3,1,1,0,,,0,0,6,5,10,9,3,6,0,0,ROMA,2004-05,15,7,8,4,7,3,0,0
1,3,1,2,,,,,,,ROMA,away,,,4,3,,,0,0,1,1,23,18,3,3,1,0,1,,,0,0,5,6,9,10,6,3,0,0,FIORENTINA,2004-05,7,15,4,8,3,7,0,0
0,2,0,0,,,,,,,LAZIO,home,,,0,0,,,0,0,1,0,0,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,0,1,SAMPDORIA,2004-05,0,0,0,0,0,0,0,0
2,0,0,0,,,,,,,SAMPDORIA,away,,,0,0,,,0,0,0,1,0,0,0,0,1,1,0,,,0,0,0,0,0,0,0,0,1,0,LAZIO,2004-05,0,0,0,0,0,0,0,0
4,2,6,1,0,0,0,0,0,0,BRESCIA,home,0,0,16,2,0,0,0,0,0,1,13,27,1,2,2,4,1,0,0,0,0,16,18,14,11,5,4,0,0,LECCE,2004-05,18,12,10,6,8,6,0,0
2,4,1,6,0,0,0,0,0,0,LECCE,away,0,0,2,16,0,0,0,0,1,0,27,13,2,1,2,1,4,0,0,0,0,18,16,11,14,4,5,0,0,BRESCIA,2004-05,12,18,6,10,6,8,0,0
3,1,0,0,0,0,0,0,0,0,PALERMO,home,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,INTER,2004-05,1,1,0,0,1,1,0,0
