Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
2,2,2,0,0,0,0,0,0,0,LIVORNO,home,0,0,9,6,0,0,0,0,0,0,20,17,2,4,1,2,0,0,0,0,0,0,0,11,12,11,8,3,6,1,0,ROMA,2006-07,12,6,4,3,0,0,8,3,0,0,,
2,2,0,2,0,0,0,0,0,0,ROMA,away,0,0,6,9,0,0,0,0,0,0,17,20,4,2,1,0,2,0,0,0,0,0,0,12,11,8,11,6,3,0,1,LIVORNO,2006-07,6,12,3,4,0,0,3,8,0,0,,
3,1,5,4,0,0,0,0,0,0,INTER,home,0,0,5,2,0,0,0,0,0,0,24,21,1,3,1,2,3,0,0,0,0,0,0,4,3,3,2,2,5,0,0,FIORENTINA,2006-07,9,10,2,5,0,0,7,5,0,0,,
1,3,4,5,0,0,0,0,0,0,FIORENTINA,away,0,0,2,5,0,0,0,0,0,0,21,24,3,1,1,3,2,0,0,0,0,0,0,3,4,2,3,5,2,0,0,INTER,2006-07,10,9,5,2,0,0,5,7,0,0,,
2,3,0,1,0,0,0,0,0,0,ASCOLI,home,0,0,3,3,0,0,0,0,0,0,14,17,3,0,1,3,1,0,0,0,0,1,0,3,1,2,4,4,4,0,0,ATALANTA,2006-07,14,10,6,5,0,0,8,5,0,0,,
3,2,1,0,0,0,0,0,0,0,ATALANTA,away,0,0,3,3,0,0,0,0,0,0,17,14,0,3,1,1,3,0,0,0,0,0,1,1,3,4,2,4,4,0,0,ASCOLI,2006-07,10,14,5,6,0,0,5,8,0,0,,
0,5,3,0,0,0,0,0,0,0,CATANIA,home,0,0,3,5,0,0,1,0,0,0,20,17,0,1,1,0,1,0,0,0,0,1,0,3,3,1,3,4,7,0,0,CAGLIARI,2006-07,17,8,10,3,0,0,7,5,0,0,,
5,0,0,3,0,0,0,0,0,0,CAGLIARI,away,0,0,5,3,0,0,0,1,0,0,17,20,1,0,1,1,0,0,0,0,0,0,1,3,3,3,1,7,4,0,0,CATANIA,2006-07,8,17,3,10,0,0,5,7,0,0,,
4,1,0,0,0,0,0,0,0,0,SIENA,home,0,0,4,3,0,0,0,0,1,0,16,14,2,3,1,1,2,0,0,0,0,0,0,6,4,0,1,1,0,0,0,CHIEVOVERONA,2006-07,5,4,4,1,0,0,1,3,0,0,,
1,4,0,0,0,0,0,0,0,0,CHIEVOVERONA,away,0,0,3,4,0,0,0,0,0,1,14,16,3,2,1,2,1,0,0,0,0,0,0,4,6,1,0,0,1,0,0,SIENA,2006-07,4,5,1,4,0,0,3,1,0,0,,
