Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
1,2,1,2,FIORENTINA,home,4,8,0,0,0,0,20,14,4,7,1,1,1,0,0,8,7,4,4,8,3,0,0,BOLOGNA,2009-10,4,11,0,4,4,7,0,0
2,1,2,1,BOLOGNA,away,8,4,0,0,0,0,14,20,7,4,1,1,1,0,0,7,8,4,4,3,8,0,0,FIORENTINA,2009-10,11,4,4,0,7,4,0,0
2,1,2,5,MILAN,home,5,8,0,0,0,0,10,22,2,6,1,1,2,0,0,19,14,5,11,3,4,0,0,SIENA,2009-10,10,8,5,3,5,5,0,0
1,2,5,2,SIENA,away,8,5,0,0,0,0,22,10,6,2,1,2,1,0,0,14,19,11,5,4,3,0,0,MILAN,2009-10,8,10,3,5,5,5,0,0
3,2,0,0,BARI,home,10,1,0,0,0,0,15,20,1,4,1,1,1,0,0,6,6,4,3,3,2,1,0,INTER,2009-10,10,11,7,7,3,4,0,0
2,3,0,0,INTER,away,1,10,0,0,0,0,20,15,4,1,1,1,1,0,0,6,6,3,4,2,3,0,1,BARI,2009-10,11,10,7,7,4,3,0,0
4,2,0,3,SAMPDORIA,home,11,4,1,0,0,0,13,26,1,0,1,1,2,0,0,18,14,10,11,3,2,0,0,CATANIA,2009-10,7,11,4,6,3,5,0,0
2,4,3,0,CATANIA,away,4,11,0,1,0,0,26,13,0,1,1,2,1,0,0,14,18,11,10,2,3,0,0,SAMPDORIA,2009-10,11,7,6,4,5,3,0,0
5,2,2,1,ROMA,home,8,5,0,0,0,0,11,19,0,5,1,3,2,0,0,13,15,8,6,5,4,0,0,GENOA,2009-10,13,11,6,4,7,7,0,0
2,5,1,2,GENOA,away,5,8,0,0,0,0,19,11,5,0,1,2,3,0,0,15,13,6,8,4,5,0,0,ROMA,2009-10,11,13,4,6,7,7,0,0
3,2,2,0,CHIEVOVERONA,home,9,2,0,0,0,0,14,12,2,8,1,1,0,1,0,19,7,12,13,0,1,0,0,JUVENTUS,2009-10,8,2,5,2,3,0,0,0
2,3,0,2,JUVENTUS,away,2,9,0,0,0,0,12,14,8,2,1,0,1,0,1,7,19,13,12,1,0,0,0,CHIEVOVERONA,2009-10,2,8,2,5,0,3,0,0
