Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Possesso palla,Possesso palla avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri fuori su azione da palla inattiva,Tiri fuori su azione da palla inattiva avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario,Tiri in porta su azione da palla inattiva,Tiri in porta su azione da palla inattiva avversario
2,1,3,3,4,9,6,7,11,14,ROMA,home,0,3,3,7,6,9,0,0,0,0,10,6,5,2,1,1,1,14,6,9,14,0,1,12,17,16,13,9,5,37%,63%,0,0,HELLAS VERONA,2015-16,11,19,5,9,0,0,1,1,6,10,4,6,0,0,1,2
1,2,3,3,9,4,7,6,14,11,HELLAS VERONA,away,3,0,7,3,9,6,0,0,0,0,6,10,2,5,1,1,1,6,14,14,9,1,0,17,12,13,16,5,9,63%,37%,0,0,ROMA,2015-16,19,11,9,5,0,0,1,1,10,6,6,4,0,0,2,1
2,1,5,1,4,1,16,4,12,7,BOLOGNA,home,2,2,10,3,11,2,0,0,0,0,7,14,1,2,1,2,1,11,16,10,5,0,0,14,11,18,19,4,8,58%,42%,0,0,LAZIO,2015-16,18,7,8,2,0,0,2,0,10,5,3,2,0,0,1,1
1,2,1,5,1,4,4,16,7,12,LAZIO,away,2,2,3,10,2,11,0,0,0,0,14,7,2,1,1,1,2,16,11,5,10,0,0,11,14,19,18,8,4,42%,58%,0,0,BOLOGNA,2015-16,7,18,2,8,0,0,0,2,5,10,2,3,0,0,1,1
1,3,8,2,4,4,8,3,17,3,UDINESE,home,1,5,10,2,18,5,0,0,0,0,17,14,3,0,1,0,1,6,8,10,3,0,0,14,9,8,14,1,7,64%,36%,0,0,JUVENTUS,2015-16,20,5,11,3,0,0,1,0,9,2,6,2,0,0,0,0
3,1,2,8,4,4,3,8,3,17,JUVENTUS,away,5,1,2,10,5,18,0,0,0,0,14,17,0,3,1,1,0,8,6,3,10,0,0,9,14,14,8,7,1,36%,64%,0,0,UDINESE,2015-16,5,20,3,11,0,0,0,1,2,9,2,6,0,0,0,0
1,2,5,3,2,5,8,5,9,7,CHIEVOVERONA,home,0,1,8,5,7,5,0,0,0,0,17,12,1,4,1,1,3,16,18,11,9,1,0,15,11,16,13,0,4,53%,47%,0,0,EMPOLI,2015-16,13,11,7,7,0,0,0,2,6,4,5,3,0,0,1,1
2,1,3,5,5,2,5,8,7,9,EMPOLI,away,1,0,5,8,5,7,0,0,0,0,12,17,4,1,1,3,1,18,16,9,11,0,1,11,15,13,16,4,0,47%,53%,0,0,CHIEVOVERONA,2015-16,11,13,7,7,0,0,2,0,4,6,3,5,0,0,1,1
3,2,1,1,4,3,4,5,7,4,MILAN,home,0,0,4,5,5,2,0,1,0,0,13,17,1,4,1,2,0,13,10,7,5,0,0,14,9,8,10,1,5,57%,43%,1,0,FIORENTINA,2015-16,9,7,3,6,0,0,0,0,6,1,3,1,1,0,0,0
2,3,1,1,3,4,5,4,4,7,FIORENTINA,away,0,0,5,4,2,5,1,0,0,0,17,13,4,1,1,0,2,10,13,5,7,0,0,9,14,10,8,5,1,43%,57%,0,1,MILAN,2015-16,7,9,6,3,0,0,0,0,1,6,1,3,0,1,0,0
2,2,1,3,4,15,6,8,6,4,TORINO,home,3,2,3,12,5,14,0,0,0,0,6,10,2,1,1,1,2,3,2,4,8,0,0,17,18,18,17,4,2,44%,56%,0,0,FROSINONE,2015-16,8,14,5,8,0,0,1,1,3,6,1,3,0,0,0,0
2,2,3,1,15,4,8,6,4,6,FROSINONE,away,2,3,12,3,14,5,0,0,0,0,10,6,1,2,1,2,1,2,3,8,4,0,0,18,17,17,18,2,4,56%,44%,0,0,TORINO,2015-16,14,8,8,5,0,0,1,1,6,3,3,1,0,0,0,0
2,2,1,0,10,3,9,5,23,4,ATALANTA,home,0,0,9,1,13,1,0,1,0,0,12,14,4,0,1,1,0,5,3,9,3,1,0,23,13,7,11,0,6,64%,36%,0,0,INTER,2015-16,17,3,9,3,0,1,0,0,8,0,3,0,0,0,0,0
2,2,0,1,3,10,5,9,4,23,INTER,away,0,0,1,9,1,13,1,0,0,0,14,12,0,4,1,0,1,3,5,3,9,0,1,13,23,11,7,6,0,36%,64%,0,0,ATALANTA,2015-16,3,17,3,9,1,0,0,0,0,8,0,3,0,0,0,0
1,1,0,4,12,6,8,8,7,8,GENOA,home,1,1,5,6,12,2,0,0,0,0,12,10,1,5,1,1,0,21,12,5,3,2,0,5,15,15,12,4,6,49%,51%,0,0,PALERMO,2015-16,12,9,3,5,0,0,0,1,9,4,6,3,0,0,0,0
1,1,4,0,6,12,8,8,8,7,PALERMO,away,1,1,6,5,2,12,0,0,0,0,10,12,5,1,1,0,1,12,21,3,5,0,2,15,5,12,15,6,4,51%,49%,0,0,GENOA,2015-16,9,12,5,3,0,0,1,0,4,9,3,6,0,0,0,0
1,3,2,1,3,6,5,6,7,13,CARPI,home,2,0,4,6,2,6,1,0,0,0,11,11,2,0,1,5,2,11,13,7,12,0,0,13,6,7,10,5,2,58%,42%,1,1,SAMPDORIA,2015-16,7,18,1,11,1,0,0,2,6,7,5,4,1,2,0,0
3,1,1,2,6,3,6,5,13,7,SAMPDORIA,away,0,2,6,4,6,2,0,1,0,0,11,11,0,2,1,2,5,13,11,12,7,0,0,6,13,10,7,2,5,42%,58%,1,1,CARPI,2015-16,18,7,11,1,0,1,2,0,7,6,4,5,2,1,0,0
4,2,5,3,3,5,3,10,10,8,NAPOLI,home,1,2,5,1,4,6,0,0,0,0,18,13,2,2,1,2,1,15,10,6,11,0,0,10,13,18,12,2,4,47%,53%,0,0,SASSUOLO,2015-16,8,10,2,6,0,2,0,0,6,4,5,1,0,0,0,0
2,4,3,5,5,3,10,3,8,10,SASSUOLO,away,2,1,1,5,6,4,0,0,0,0,13,18,2,2,1,1,2,10,15,11,6,0,0,13,10,12,18,4,2,53%,47%,0,0,NAPOLI,2015-16,10,8,6,2,2,0,0,0,4,6,1,5,0,0,0,0
3,1,0,1,13,6,6,7,5,8,SASSUOLO,home,5,1,10,5,7,5,0,0,0,0,13,13,4,1,2,0,1,23,12,2,8,0,0,23,20,19,19,1,3,46%,54%,0,0,BOLOGNA,2015-16,3,7,0,5,0,0,0,1,3,2,0,1,1,1,0,0
1,3,1,0,6,13,7,6,8,5,BOLOGNA,away,1,5,5,10,5,7,0,0,0,0,13,13,1,4,2,1,0,12,23,8,2,0,0,20,23,19,19,3,1,54%,46%,0,0,SASSUOLO,2015-16,7,3,5,0,0,0,1,0,2,3,1,0,1,1,0,0
0,2,1,3,7,8,10,1,11,19,EMPOLI,home,1,1,6,5,8,7,0,0,0,0,15,18,4,2,2,2,1,24,15,3,6,0,0,17,14,17,14,3,3,51%,49%,0,0,MILAN,2015-16,7,14,2,10,0,0,0,0,5,4,5,1,0,0,0,0
2,0,3,1,8,7,1,10,19,11,MILAN,away,1,1,5,6,7,8,0,0,0,0,18,15,2,4,2,1,2,15,24,6,3,0,0,14,17,14,17,3,3,49%,51%,0,0,EMPOLI,2015-16,14,7,10,2,0,0,0,0,4,5,1,5,0,0,0,0
3,2,5,3,3,1,9,5,13,13,JUVENTUS,home,3,1,6,6,11,6,0,1,0,1,15,11,1,1,2,2,1,7,14,16,10,1,0,12,8,12,12,1,6,60%,40%,0,0,ROMA,2015-16,15,7,6,5,0,1,1,2,9,2,4,2,2,0,0,1
2,3,3,5,1,3,5,9,13,13,ROMA,away,1,3,6,6,6,11,1,0,1,0,11,15,1,1,2,1,2,14,7,10,16,0,1,8,12,12,12,6,1,40%,60%,0,0,JUVENTUS,2015-16,7,15,5,6,1,0,2,1,2,9,2,4,0,2,1,0
1,4,4,3,3,2,6,5,7,1,FROSINONE,home,2,1,9,2,11,1,0,0,0,0,11,8,1,4,2,2,0,9,9,11,5,1,0,7,13,22,11,5,8,66%,34%,1,0,ATALANTA,2015-16,18,12,7,7,0,0,0,1,11,5,8,2,1,0,0,0
4,1,3,4,2,3,5,6,1,7,ATALANTA,away,1,2,2,9,1,11,0,0,0,0,8,11,4,1,2,0,2,9,9,5,11,0,1,13,7,11,22,8,5,34%,66%,0,1,FROSINONE,2015-16,12,18,7,7,0,0,1,0,5,11,2,8,0,1,0,0
3,4,2,3,4,12,7,9,7,14,INTER,home,0,0,2,6,1,6,0,0,0,0,15,10,5,2,2,1,2,11,10,7,10,0,0,23,30,10,10,2,4,43%,57%,0,1,CARPI,2015-16,9,9,4,5,1,1,0,1,5,4,4,3,0,1,0,0
4,3,3,2,12,4,9,7,14,7,CARPI,away,0,0,6,2,6,1,0,0,0,0,10,15,2,5,2,2,1,10,11,10,7,0,0,30,23,10,10,4,2,57%,43%,1,0,INTER,2015-16,9,9,5,4,1,1,1,0,4,5,3,4,1,0,0,0
0,1,3,1,10,16,2,9,11,6,LAZIO,home,2,1,2,8,7,6,0,0,0,0,15,9,3,2,2,4,0,22,11,9,10,0,1,5,21,25,14,4,1,46%,54%,0,0,CHIEVOVERONA,2015-16,7,10,2,5,0,0,0,0,5,5,4,4,0,0,0,1
1,0,1,3,16,10,9,2,6,11,CHIEVOVERONA,away,1,2,8,2,6,7,0,0,0,0,9,15,2,3,2,0,4,11,22,10,9,1,0,21,5,14,25,1,4,54%,46%,0,0,LAZIO,2015-16,10,7,5,2,0,0,0,0,5,5,4,4,0,0,1,0
2,2,7,0,6,9,8,2,15,3,HELLAS VERONA,home,0,0,4,4,12,15,0,0,0,0,11,17,2,3,2,2,0,12,25,12,6,0,1,17,12,14,18,2,5,54%,46%,0,0,GENOA,2015-16,16,9,9,6,0,1,1,0,7,3,4,2,0,0,0,0
2,2,0,7,9,6,2,8,3,15,GENOA,away,0,0,4,4,15,12,0,0,0,0,17,11,3,2,2,0,2,25,12,6,12,1,0,12,17,18,14,5,2,46%,54%,0,0,HELLAS VERONA,2015-16,9,16,6,9,1,0,0,1,3,7,2,4,0,0,0,0
0,2,4,1,5,10,8,2,28,9,SAMPDORIA,home,1,3,4,1,7,3,0,0,0,0,7,8,1,3,2,2,2,10,19,17,7,1,1,24,22,23,17,1,5,59%,41%,0,1,NAPOLI,2015-16,22,7,14,3,0,0,1,0,8,4,5,3,0,1,2,0
2,0,1,4,10,5,2,8,9,28,NAPOLI,away,3,1,1,4,3,7,0,0,0,0,8,7,3,1,2,2,2,19,10,7,17,1,1,22,24,17,23,5,1,41%,59%,1,0,SAMPDORIA,2015-16,7,22,3,14,0,0,0,1,4,8,3,5,1,0,0,2
2,3,1,0,7,6,8,4,2,7,FIORENTINA,home,2,2,4,2,9,7,0,0,0,0,10,14,5,0,2,3,1,15,9,9,4,0,0,13,21,20,11,5,3,45%,55%,0,0,TORINO,2015-16,7,9,1,3,0,1,1,0,6,6,4,3,0,1,1,0
3,2,0,1,6,7,4,8,7,2,TORINO,away,2,2,2,4,7,9,0,0,0,0,14,10,0,5,2,1,3,9,15,4,9,0,0,21,13,11,20,3,5,55%,45%,0,0,FIORENTINA,2015-16,9,7,3,1,1,0,0,1,6,6,3,4,1,0,0,1
3,2,4,1,3,1,8,3,17,0,PALERMO,home,1,1,10,0,14,4,0,1,0,0,8,15,0,0,2,0,1,3,6,10,1,0,0,20,16,14,13,0,5,62%,38%,0,0,UDINESE,2015-16,19,1,14,0,0,0,1,0,5,1,4,1,1,0,0,0
2,3,1,4,1,3,3,8,0,17,UDINESE,away,1,1,0,10,4,14,1,0,0,0,15,8,0,0,2,1,0,6,3,1,10,0,0,16,20,13,14,5,0,38%,62%,0,0,PALERMO,2015-16,1,19,0,14,0,0,0,1,1,5,1,4,0,1,0,0
2,4,2,0,6,8,3,9,8,2,GENOA,home,4,2,4,2,6,8,1,0,0,0,20,16,0,3,3,1,0,14,17,8,2,0,0,20,23,19,15,1,2,46%,54%,0,0,FIORENTINA,2015-16,11,4,8,3,0,0,2,0,3,1,2,0,0,0,1,0
4,2,0,2,8,6,9,3,2,8,FIORENTINA,away,2,4,2,4,8,6,0,1,0,0,16,20,3,0,3,0,1,17,14,2,8,0,0,23,20,15,19,2,1,54%,46%,0,0,GENOA,2015-16,4,11,3,8,0,0,0,2,1,3,0,2,0,0,0,1
4,3,0,2,9,10,5,7,6,8,ROMA,home,1,1,3,8,6,10,0,0,0,0,11,14,1,0,3,0,2,30,32,3,10,0,1,10,7,7,13,2,6,40%,60%,0,0,FROSINONE,2015-16,16,14,10,9,1,1,2,2,6,5,1,4,0,0,0,0
3,4,2,0,10,9,7,5,8,6,FROSINONE,away,1,1,8,3,10,6,0,0,0,0,14,11,0,1,3,2,0,32,30,10,3,1,0,7,10,13,7,6,2,60%,40%,0,0,ROMA,2015-16,14,16,9,10,1,1,2,2,5,6,4,1,0,0,0,0
3,5,0,0,7,4,11,3,15,10,CHIEVOVERONA,home,0,0,5,3,10,2,0,0,0,0,18,19,1,1,3,1,1,8,9,14,2,1,0,25,22,10,16,2,6,70%,30%,1,0,JUVENTUS,2015-16,17,7,9,4,0,0,0,0,8,3,4,1,2,0,0,0
5,3,0,0,4,7,3,11,10,15,JUVENTUS,away,0,0,3,5,2,10,0,0,0,0,19,18,1,1,3,1,1,9,8,2,14,0,1,22,25,16,10,6,2,30%,70%,0,1,CHIEVOVERONA,2015-16,7,17,4,9,0,0,0,0,3,8,1,4,0,2,0,0
5,2,4,0,2,4,12,8,4,2,TORINO,home,1,2,3,3,6,7,0,0,0,0,18,16,2,3,3,2,2,15,14,8,3,0,0,14,19,15,20,3,1,47%,53%,1,0,HELLAS VERONA,2015-16,11,7,8,2,0,0,5,0,3,5,3,4,1,0,0,0
