"day","time","technology","user","lot_runid","elapsed"
"Wed","10:00","Query Rewrite","User 3",1,15.7
"Mon","09:00","Query Rewrite","User 1",1,16.2
"Fri","14:00","Dynamic Cubes","User 3",1,5.2
"Mon","12:00","Query Rewrite","User 3",1,17
"Mon","16:00","Dynamic Cubes","User 2",1,5
"Wed","11:00","Query Rewrite","User 1",1,17.7
"Fri","15:00","Dynamic Cubes","User 1",1,7.2
"Wed","12:00","Query Rewrite","User 2",1,11.1
"Mon","15:00","Dynamic Cubes","User 2",1,7
"Mon","09:00","Dynamic Cubes","User 2",1,10.4
"Tue","14:00","Dynamic Cubes","User 3",1,4.1
"Wed","14:00","Query Rewrite","User 2",1,18.6
"Wed","10:00","Dynamic Cubes","User 3",1,6.3
"Thu","16:00","Query Rewrite","User 3",1,13.1
"Mon","15:00","Query Rewrite","User 2",1,15.3
"Wed","09:00","Dynamic Cubes","User 2",1,6.6
"Wed","13:00","Dynamic Cubes","User 3",1,8.7
"Thu","11:00","Query Rewrite","User 3",1,15.1
"Mon","16:00","Dynamic Cubes","User 2",2,4.7
"Fri","16:00","Dynamic Cubes","User 2",1,5.7
"Fri","15:00","Query Rewrite","User 2",1,15
"Wed","15:00","Query Rewrite","User 2",1,12.4
"Thu","11:00","Dynamic Cubes","User 3",1,3.8
"Thu","14:00","Query Rewrite","User 2",1,13.2
"Mon","09:00","Dynamic Cubes","User 1",2,3.9
"Mon","14:00","Dynamic Cubes","User 3",1,5.9
"Thu","10:00","Dynamic Cubes","User 1",1,6.3
"Wed","12:00","Dynamic Cubes","User 2",1,21.4
"Fri","11:00","Dynamic Cubes","User 1",1,6.5
"Fri","13:00","Dynamic Cubes","User 2",1,34
"Wed","15:00","Query Rewrite","User 1",2,14.3
"Fri","14:00","Dynamic Cubes","User 2",2,6
"Wed","10:00","Query Rewrite","User 3",2,14.8
"Mon","09:00","Query Rewrite","User 3",2,9.6
"Thu","11:00","Dynamic Cubes","User 1",2,34.6
"Wed","09:00","Dynamic Cubes","User 2",2,6.4
"Tue","09:00","Dynamic Cubes","User 3",1,22.4
"Wed","15:00","Dynamic Cubes","User 1",1,3
"Wed","16:00","Query Rewrite","User 3",1,17.7
